signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_short|z4>=1.5,2020-22,26,12,5.0,-0.02782745351224018,-0.02370717361527358,0.4166666666666667,0.03134070603275328,0.6025641025641025,-0.059168159544993465,0.9532,-0.0651705712093771
comm_short|z1>=2.0,ALL,4,9,8.0,0.02042945387065456,0.02406094907394185,0.6666666666666666,0.01262554843983999,0.5970149253731343,0.00780390543081457,0.311,-0.010039153411405537
comm_short|z1>=2.0,ALL,8,9,8.0,0.033449719357680596,0.02335099780149652,0.7777777777777778,0.026672622775896472,0.6102719033232629,0.006777096581784124,0.3748,-0.012186690376242352
comm_short|z1>=2.0,ALL,13,9,8.0,0.042438467548619116,0.006271467812613674,0.5555555555555556,0.045571562169968736,0.6779141104294478,-0.0031330946213496205,0.539,-0.02383096793145096
comm_short|z1>=2.0,ALL,26,9,8.0,0.058645431614313986,0.12607590717826933,0.5555555555555556,0.09718082370740687,0.7635782747603834,-0.03853539209309288,0.6698,-0.039015583714671766
comm_short|z1>=2.0,2023+,4,5,5.0,0.0373106454168638,0.04464441944756903,0.8,0.01849698735368388,0.6424581005586593,0.018813658063179917,0.137,-0.006689878894513046
comm_short|z1>=2.0,2023+,8,5,5.0,0.053906673432487694,0.056514654242500795,1.0,0.04127644240856628,0.68,0.012630231023921412,0.2066,-0.006689878894513046
comm_short|z1>=2.0,2023+,13,5,5.0,0.081691315068334,0.05270937091184491,0.8,0.07129724925888474,0.8058823529411765,0.010394065809449266,0.2296,-0.008972379887888881
comm_short|z1>=2.0,2023+,26,5,5.0,0.12828188300943186,0.1464552110348627,0.8,0.16260157757521554,0.9235668789808917,-0.03431969456578368,0.3782,-0.014741504258541305
comm_short|z1>=2.0,2020-22,4,4,3.0,-0.0006720355621069873,0.0022532206306029035,0.5,0.00588844866049347,0.5448717948717948,-0.006560484222600457,0.6744,-0.014225746557521152
comm_short|z1>=2.0,2020-22,8,4,3.0,0.007878526764171723,-0.006689359381401916,0.5,0.010290132803350205,0.532051282051282,-0.002411606039178482,0.6024,-0.019057704728403985
comm_short|z1>=2.0,2020-22,13,4,3.0,-0.006627591851024489,-0.010779515587102162,0.25,0.0175371595730731,0.5384615384615384,-0.02416475142409759,0.8062,-0.042404202985903555
comm_short|z1>=2.0,2020-22,26,4,3.0,-0.028400132629583352,-0.05389526240454939,0.25,0.03134070603275328,0.6025641025641025,-0.059740838662336634,0.9102,-0.06935818303483485
comm_short|pct13>=0.1,ALL,4,63,14.0,0.011143222806142649,0.004593188928521563,0.5396825396825397,0.01262554843983999,0.5970149253731343,-0.0014823256336973407,0.5286,-0.011333472134282294
comm_short|pct13>=0.1,ALL,8,63,14.0,0.015094873604814847,0.010744372564268634,0.5238095238095238,0.026672622775896472,0.6102719033232629,-0.011577749171081625,0.653,-0.019468878918562263
comm_short|pct13>=0.1,ALL,13,63,14.0,0.040161692822928266,0.02990929772460582,0.6825396825396826,0.045571562169968736,0.6779141104294478,-0.0054098693470404705,0.5404,-0.024581228220678812
comm_short|pct13>=0.1,ALL,26,62,14.0,0.08777910419547798,0.12478401828215413,0.7419354838709677,0.09718082370740687,0.7635782747603834,-0.009401719511928891,0.523,-0.03387059601840965
comm_short|pct13>=0.1,2023+,4,47,11.0,0.01463005937297807,0.004593188928521563,0.5531914893617021,0.01849698735368388,0.6424581005586593,-0.003866927980705811,0.4016,-0.00932630337504168
comm_short|pct13>=0.1,2023+,8,47,11.0,0.022076153623046376,0.013484290801216492,0.574468085106383,0.04127644240856628,0.68,-0.019200288785519905,0.5396,-0.01644572465447543
comm_short|pct13>=0.1,2023+,13,47,11.0,0.05221790602157945,0.038784675040599126,0.7659574468085106,0.07129724925888474,0.8058823529411765,-0.019079343237305292,0.4096,-0.020192465955528538
comm_short|pct13>=0.1,2023+,26,46,11.0,0.12506977076210588,0.14180081750902473,0.8478260869565217,0.16260157757521554,0.9235668789808917,-0.037531806813109664,0.4342,-0.025259029745204577
comm_short|pct13>=0.1,2020-22,4,16,4.0,0.0009006403910635993,-0.001752443253876912,0.5,0.00588844866049347,0.5448717948717948,-0.004987808269429871,0.7002,-0.017229530364551604
comm_short|pct13>=0.1,2020-22,8,16,4.0,-0.005412636448740259,-0.02587887054931165,0.375,0.010290132803350205,0.532051282051282,-0.015702769252090465,0.827,-0.028349394569317336
comm_short|pct13>=0.1,2020-22,13,16,4.0,0.004746566551890423,-0.010779515587102162,0.4375,0.0175371595730731,0.5384615384615384,-0.012790593021182677,0.8214,-0.03747321737455774
comm_short|pct13>=0.1,2020-22,26,16,4.0,-0.019431562183577215,-0.02370717361527358,0.4375,0.03134070603275328,0.6025641025641025,-0.0507722682163305,0.9124,-0.058628849053874256
comm_short|pct13>=0.15,ALL,4,43,9.0,0.011921148056333243,0.0032378443639555776,0.5348837209302325,0.01262554843983999,0.5970149253731343,-0.0007044003835067463,0.4686,-0.01017749492846048
